"","BR-A-Control_counts.txt","BR-A-Mutant_counts.txt","BR-B-Control_counts.txt","BR-B-Mutant_counts.txt","BR-C-Control_counts.txt","BR-C-Mutant_counts.txt"
"ENSMUSG00000001417",1,0,1,1,0,1
"ENSMUSG00000001418",82,85,77,102,99,114
"ENSMUSG00000001419",656,591,567,623,619,631
"ENSMUSG00000001420",0,0,0,1,4,1
"ENSMUSG00000001424",534,548,457,626,512,553
"ENSMUSG00000001435",9,5,10,8,9,10
"ENSMUSG00000001436",90,105,98,97,96,140
"ENSMUSG00000001440",1494,1508,1479,1621,1557,1429
"ENSMUSG00000001441",1844,1938,1743,1972,1946,1929
"ENSMUSG00000001444",0,3,0,4,1,1
"ENSMUSG00000001445",87,119,72,99,72,75
"ENSMUSG00000001467",1982,2151,1723,2078,1923,1823
"ENSMUSG00000001472",1669,1694,1543,1768,1602,1735
"ENSMUSG00000001473",30,22,24,34,30,40
"ENSMUSG00000001482",173,209,204,245,227,185
"ENSMUSG00000001493",0,1,0,0,0,0
"ENSMUSG00000001494",3,2,0,1,0,0
"ENSMUSG00000001496",0,0,0,0,0,0
"ENSMUSG00000001497",0,0,0,0,0,0
"ENSMUSG00000001504",7,3,1,0,1,0
"ENSMUSG00000001506",4,0,1,1,4,1
"ENSMUSG00000001507",250,282,306,269,247,297
"ENSMUSG00000001508",1,0,0,0,0,0
"ENSMUSG00000001510",1,0,2,5,0,3
"ENSMUSG00000001517",33,32,33,32,34,42
"ENSMUSG00000001518",331,359,301,407,327,341
"ENSMUSG00000001520",111,97,96,119,106,111
"ENSMUSG00000001521",203,192,221,258,205,246
"ENSMUSG00000001524",34,61,36,48,58,56
"ENSMUSG00000001525",3324,3439,3367,3710,3457,3502
"ENSMUSG00000001542",19,18,25,20,31,12
"ENSMUSG00000001552",239,285,217,260,231,221
"ENSMUSG00000001555",5,2,0,6,3,4
"ENSMUSG00000001558",24,18,22,13,27,16
"ENSMUSG00000001566",488,409,420,554,576,502
"ENSMUSG00000001569",267,274,215,291,300,227
"ENSMUSG00000001576",551,632,600,626,574,560
"ENSMUSG00000001583",4,8,2,4,14,4
"ENSMUSG00000001588",2,1,1,13,2,7
"ENSMUSG00000001604",0,0,0,0,0,0
"ENSMUSG00000001622",0,0,1,0,0,0
"ENSMUSG00000001627",610,660,560,680,620,617
"ENSMUSG00000001630",183,213,163,205,216,199
"ENSMUSG00000001632",394,444,456,458,398,384
"ENSMUSG00000001642",25,27,13,22,14,15
"ENSMUSG00000001655",0,0,0,0,0,0
"ENSMUSG00000001656",0,0,0,0,0,0
"ENSMUSG00000001657",3226,3141,3235,3122,3103,3228
"ENSMUSG00000001661",1704,1730,1532,1925,1729,1752
"ENSMUSG00000001663",3,5,4,2,4,5
"ENSMUSG00000001665",0,0,0,0,1,0
"ENSMUSG00000001666",91,79,60,94,55,77
"ENSMUSG00000001670",0,0,0,0,0,0
"ENSMUSG00000001672",28,14,11,17,21,15
"ENSMUSG00000001674",31,20,18,22,20,21
"ENSMUSG00000001687",412,360,376,394,401,367
"ENSMUSG00000001700",11,10,20,7,5,9
